id,name,count
CL:0000000,cell,15258
CL:0000001,primary cultured cell,80
CL:0000006,neuronal receptor cell,2502
CL:0000015,male germ cell,969
CL:0000017,spermatocyte,9210
CL:0000018,spermatid,12027
CL:0000020,spermatogonium,192
CL:0000023,oocyte,776
CL:0000024,oogonial cell,4890
CL:0000029,neural crest derived neuron,838
CL:0000030,glioblast,479998
CL:0000031,neuroblast (sensu Vertebrata),1080253
CL:0000032,neuroplacodal cell,5711
CL:0000034,stem cell,502601
CL:0000036,epithelial fate stem cell,417
CL:0000037,hematopoietic stem cell,51601
CL:0000038,erythroid progenitor cell,47317
CL:0000047,neural stem cell,20454
CL:0000049,common myeloid progenitor,24706
CL:0000050,megakaryocyte-erythroid progenitor cell,37688
CL:0000051,common lymphoid progenitor,12480
CL:0000055,non-terminally differentiated cell,82
CL:0000056,myoblast,3490
CL:0000057,fibroblast,2564217
CL:0000058,chondroblast,6712
CL:0000060,odontoblast,5179
CL:0000062,osteoblast,15450
CL:0000064,ciliated cell,91591
CL:0000065,ependymal cell,39492
CL:0000066,epithelial cell,660451
CL:0000067,ciliated epithelial cell,29019
CL:0000068,duct epithelial cell,16165
CL:0000071,blood vessel endothelial cell,260760
CL:0000075,columnar/cuboidal epithelial cell,129
CL:0000076,squamous epithelial cell,15294
CL:0000077,mesothelial cell,208593
CL:0000078,peridermal cell,817
CL:0000079,stratified epithelial cell,56967
CL:0000081,blood cell,54172
CL:0000082,epithelial cell of lung,125048
CL:0000083,epithelial cell of pancreas,9257
CL:0000084,T cell,1447033
CL:0000091,Kupffer cell,38910
CL:0000092,osteoclast,4933
CL:0000094,granulocyte,17003
CL:0000095,neuron associated cell,1728
CL:0000096,mature neutrophil,1812
CL:0000097,mast cell,217315
CL:0000099,interneuron,63801
CL:0000100,motor neuron,2756
CL:0000101,sensory neuron,1605
CL:0000103,bipolar neuron,1499
CL:0000113,mononuclear phagocyte,71852
CL:0000115,endothelial cell,1056808
CL:0000120,granule cell,120344
CL:0000121,Purkinje cell,441581
CL:0000122,stellate neuron,75294
CL:0000123,neuron associated cell (sensu Vertebrata),79325
CL:0000125,glial cell,169993
CL:0000126,macroglial cell,53713
CL:0000127,astrocyte,1576400
CL:0000128,oligodendrocyte,4437030
CL:0000129,microglial cell,625227
CL:0000131,gut endothelial cell,8601
CL:0000132,corneal endothelial cell,8394
CL:0000133,neurectodermal cell,1558
CL:0000134,mesenchymal stem cell,135972
CL:0000135,fibrocyte,335
CL:0000136,adipocyte,128116
CL:0000138,chondrocyte,42066
CL:0000145,professional antigen presenting cell,10243
CL:0000148,melanocyte,39916
CL:0000150,glandular epithelial cell,23269
CL:0000151,secretory cell,187074
CL:0000155,peptic cell,9718
CL:0000158,club cell,187659
CL:0000159,seromucus secreting cell,5088
CL:0000160,goblet cell,177646
CL:0000162,parietal cell,1661
CL:0000163,endocrine cell,9522
CL:0000164,enteroendocrine cell,24765
CL:0000165,neuroendocrine cell,46019
CL:0000166,chromaffin cell,26199
CL:0000169,type B pancreatic cell,57933
CL:0000171,pancreatic A cell,53214
CL:0000173,pancreatic D cell,8187
CL:0000178,Leydig cell,5696
CL:0000182,hepatocyte,158179
CL:0000183,contractile cell,5078
CL:0000185,myoepithelial cell,8512
CL:0000186,myofibroblast cell,137053
CL:0000187,muscle cell,23009
CL:0000188,cell of skeletal muscle,29120
CL:0000189,slow muscle cell,46918
CL:0000190,fast muscle cell,69268
CL:0000192,smooth muscle cell,287726
CL:0000209,taste receptor cell,11616
CL:0000210,photoreceptor cell,15407
CL:0000212,absorptive cell,63161
CL:0000216,Sertoli cell,73268
CL:0000218,myelinating Schwann cell,994
CL:0000222,mesodermal cell,116643
CL:0000232,erythrocyte,432736
CL:0000233,platelet,71996
CL:0000235,macrophage,1978566
CL:0000236,B cell,1691023
CL:0000237,keratinizing barrier epithelial cell,820
CL:0000240,stratified squamous epithelial cell,36969
CL:0000242,Merkel cell,1282
CL:0000253,eurydendroid cell,2602
CL:0000287,eye photoreceptor cell,8200
CL:0000312,keratinocyte,105690
CL:0000313,serous secreting cell,13406
CL:0000317,sebum secreting cell,854
CL:0000319,mucus secreting cell,4890
CL:0000322,pulmonary alveolar epithelial cell,5440
CL:0000327,extracellular matrix secreting cell,3942
CL:0000338,neuroblast (sensu Nematoda and Protostomia),289115
CL:0000359,vascular associated smooth muscle cell,177747
CL:0000362,epidermal cell,446
CL:0000388,tendon cell,6137
CL:0000397,ganglion interneuron,1715
CL:0000402,CNS interneuron,22649
CL:0000432,reticular cell,421
CL:0000442,follicular dendritic cell,398
CL:0000451,dendritic cell,212350
CL:0000453,Langerhans cell,14681
CL:0000459,noradrenergic cell,138
CL:0000492,CD4-positive helper T cell,193456
CL:0000498,inhibitory interneuron,238566
CL:0000499,stromal cell,623557
CL:0000501,granulosa cell,112918
CL:0000502,type D enteroendocrine cell,226
CL:0000503,theca cell,7193
CL:0000504,enterochromaffin-like cell,81
CL:0000508,type G enteroendocrine cell,4239
CL:0000510,paneth cell,12762
CL:0000513,cardiac muscle myoblast,66335
CL:0000514,smooth muscle myoblast,2938
CL:0000515,skeletal muscle myoblast,11170
CL:0000525,syncytiotrophoblast cell,91314
CL:0000529,pigmented epithelial cell,27252
CL:0000531,primary sensory neuron (sensu Teleostei),1030
CL:0000540,neuron,9693939
CL:0000542,lymphocyte,245636
CL:0000545,T-helper 1 cell,6653
CL:0000546,T-helper 2 cell,55
CL:0000547,proerythroblast,1627
CL:0000549,basophilic erythroblast,5253
CL:0000550,polychromatophilic erythroblast,5061
CL:0000552,orthochromatic erythroblast,3734
CL:0000553,megakaryocyte progenitor cell,3882
CL:0000555,neuronal brush cell,65674
CL:0000556,megakaryocyte,81931
CL:0000557,granulocyte monocyte progenitor cell,43690
CL:0000558,reticulocyte,861
CL:0000559,promonocyte,48909
CL:0000561,amacrine cell,254875
CL:0000569,cardiac mesenchymal cell,317
CL:0000573,retinal cone cell,169409
CL:0000575,corneal epithelial cell,41125
CL:0000576,monocyte,1014253
CL:0000577,type EC enteroendocrine cell,3945
CL:0000583,alveolar macrophage,886952
CL:0000584,enterocyte,363804
CL:0000586,germ cell,15525
CL:0000594,skeletal muscle satellite cell,19684
CL:0000595,enucleate erythrocyte,202
CL:0000598,pyramidal neuron,230824
CL:0000604,retinal rod cell,1448544
CL:0000617,GABAergic neuron,861228
CL:0000622,acinar cell,35447
CL:0000623,natural killer cell,1488783
CL:0000624,"CD4-positive, alpha-beta T cell",2020272
CL:0000625,"CD8-positive, alpha-beta T cell",1788650
CL:0000630,supporting cell,30009
CL:0000632,hepatic stellate cell,46993
CL:0000636,Mueller cell,370469
CL:0000644,Bergmann glial cell,30296
CL:0000646,basal cell,576061
CL:0000649,prickle cell,26321
CL:0000650,mesangial cell,55904
CL:0000651,mucous neck cell,26945
CL:0000653,podocyte,20930
CL:0000667,collagen secreting cell,1421
CL:0000669,pericyte,558192
CL:0000670,primordial germ cell,7712
CL:0000677,gut absorptive cell,2367
CL:0000679,glutamatergic neuron,3125705
CL:0000680,muscle precursor cell,254
CL:0000681,radial glial cell,2020448
CL:0000682,M cell of gut,14540
CL:0000695,Cajal-Retzius cell,6379
CL:0000696,PP cell,761
CL:0000700,dopaminergic neuron,22048
CL:0000704,endothelial tip cell,130451
CL:0000706,choroid plexus epithelial cell,85274
CL:0000708,leptomeningeal cell,40
CL:0000731,urothelial cell,3158
CL:0000738,leukocyte,74259
CL:0000740,retinal ganglion cell,113382
CL:0000743,hypertrophic chondrocyte,28
CL:0000745,retina horizontal cell,29293
CL:0000746,cardiac muscle cell,924126
CL:0000748,retinal bipolar neuron,240966
CL:0000749,ON-bipolar cell,58352
CL:0000750,OFF-bipolar cell,47620
CL:0000751,rod bipolar cell,238867
CL:0000752,cone retinal bipolar cell,10510
CL:0000763,myeloid cell,430243
CL:0000764,erythroid lineage cell,19002
CL:0000765,erythroblast,65894
CL:0000766,myeloid leukocyte,15289
CL:0000767,basophil,5564
CL:0000771,eosinophil,529
CL:0000775,neutrophil,340648
CL:0000776,immature neutrophil,3125
CL:0000782,myeloid dendritic cell,12039
CL:0000784,plasmacytoid dendritic cell,90950
CL:0000785,mature B cell,50814
CL:0000786,plasma cell,576466
CL:0000787,memory B cell,300484
CL:0000788,naive B cell,513408
CL:0000789,alpha-beta T cell,48664
