id,name,count,classification_result
CL:0000000,cell,15258,Other/Unknown
CL:0000001,primary cultured cell,80,Other/Unknown
CL:0000006,neuronal receptor cell,2502,Neuron
CL:0000015,male germ cell,969,Germ cell
CL:0000017,spermatocyte,9210,Germ cell
CL:0000018,spermatid,12027,Germ cell
CL:0000020,spermatogonium,192,Germ cell
CL:0000023,oocyte,776,Germ cell
CL:0000024,oogonial cell,4890,Germ cell
CL:0000029,neural crest derived neuron,838,Neuron
CL:0000030,glioblast,479998,Tumor or abnormal cell
CL:0000031,neuroblast (sensu Vertebrata),1080253,Progenitor/Stem cell
CL:0000032,neuroplacodal cell,5711,Progenitor/Stem cell
CL:0000034,stem cell,502601,Progenitor/Stem cell
CL:0000036,epithelial fate stem cell,417,Progenitor/Stem cell
CL:0000037,hematopoietic stem cell,51601,Progenitor/Stem cell
CL:0000038,erythroid progenitor cell,47317,Erythroid cell
CL:0000047,neural stem cell,20454,Progenitor/Stem cell
CL:0000049,common myeloid progenitor,24706,Progenitor/Stem cell
CL:0000050,megakaryocyte-erythroid progenitor cell,37688,Progenitor/Stem cell
CL:0000051,common lymphoid progenitor,12480,Progenitor/Stem cell
CL:0000055,non-terminally differentiated cell,82,Other/Unknown
CL:0000056,myoblast,3490,Muscle cell
CL:0000057,fibroblast,2564217,Fibroblast
CL:0000058,chondroblast,6712,Progenitor/Stem cell
CL:0000060,odontoblast,5179,Other/Unknown
CL:0000062,osteoblast,15450,Other/Unknown
CL:0000064,ciliated cell,91591,Epithelial cell
CL:0000065,ependymal cell,39492,Glial cell
CL:0000066,epithelial cell,660451,Epithelial cell
CL:0000067,ciliated epithelial cell,29019,Epithelial cell
CL:0000068,duct epithelial cell,16165,Epithelial cell
CL:0000071,blood vessel endothelial cell,260760,Endothelial cell
CL:0000075,columnar/cuboidal epithelial cell,129,Epithelial cell
CL:0000076,squamous epithelial cell,15294,Epithelial cell
CL:0000077,mesothelial cell,208593,Mesothelial cell
CL:0000078,peridermal cell,817,Epithelial cell
CL:0000079,stratified epithelial cell,56967,Epithelial cell
CL:0000081,blood cell,54172,Other/Unknown
CL:0000082,epithelial cell of lung,125048,Epithelial cell
CL:0000083,epithelial cell of pancreas,9257,Epithelial cell
CL:0000084,T cell,1447033,T cell
CL:0000091,Kupffer cell,38910,Macrophage
CL:0000092,osteoclast,4933,Other/Unknown
CL:0000094,granulocyte,17003,Granulocyte
CL:0000095,neuron associated cell,1728,Other/Unknown
